iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J6_LEVEL,J7_LEVEL,J8_LEVEL,J9_LEVEL,J10_LEVEL,J11_LEVEL,J12_LEVEL,J13_LEVEL,J14_LEVEL,J15_LEVEL,J16_LEVEL,J17_LEVEL,J18_LEVEL,J19_LEVEL,J20_LEVEL,J21_LEVEL,J22_LEVEL,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS
10,2022-05-05 18:41:11.423700,7.18065513402312,6.262228266540562,86.35197395289461,63.335994808411144,62.07818890474252,60.895455375872565,50.85535694861973,50.25635435756062,50.16333462203847,50.15100298868961,36.83623524120249,36.44901482877616,36.86907265704313,60.428455536415704,63.480390818589875,58.30240866147842,59.44201944084496,38.09066045568877,36.05198266301982,60.020210923062386,59.72712197086898,86.36024054372942,58.09466000261633,35.90558182654512,378.2569879530664,1.0,378.2569879530664,1.0
11,2022-05-05 18:41:12.026079,7.55755081887109,6.578071319315457,86.37078101960373,63.598535647462064,62.35743410966789,61.19093700117752,51.16041405869029,50.569362587290264,50.47779976996571,50.46603908237087,37.149668165327355,36.76177205934671,37.17512420697769,60.70631673724768,63.73956931390979,58.67925832733497,59.76183174598439,38.406294987102044,36.36800049590319,60.32264917639602,60.04360541616515,86.37890750184039,58.47767100722421,36.222681456930275,374.7817205795075,1.0,374.7817205795075,1.0
12,2022-05-05 18:41:12.721157,7.928385390881676,6.892557244442616,86.38952108148973,63.857862514038096,62.633508782080376,61.48328688066706,51.462414702625246,50.87936708161323,50.78927124178903,50.778076936208876,37.46111679708331,37.072972349808964,37.47968647423216,60.98261044905759,63.995610400919865,59.05013162205529,60.07848020628037,38.71868734127808,36.68267771019294,60.622231597600546,60.35666791746574,86.39750904290102,58.85450706444718,36.53851296674986,371.31863203761446,1.0,371.31863203761446,1.0
13,2022-05-05 18:41:13.312674,8.30683717705087,7.223009799204175,86.4221192189132,64.25369108386558,63.100442289085656,61.99562141087004,52.04936025283398,51.440927395908666,51.337430452154685,51.29959120911654,37.93740240590648,37.474479814099844,37.88246452962369,61.37192225833803,64.38079618101965,59.42854815684147,60.575406053199714,39.2107098228201,37.01114995463121,61.08330871694212,60.846816238773556,86.42986881890329,59.225416705396135,36.853137370286085,365.2941435758195,1.0,365.2941435758195,1.0
14,2022-05-05 18:41:13.828270,8.63143857012137,7.519573603079845,83.07668009551925,63.51486628598871,62.57102830314017,61.671303602685065,51.85956053000152,51.36876805567666,51.286834912428525,51.262033855349955,38.072111498665734,37.68614110497569,38.013925464093944,61.105449297630486,63.61449701843527,59.75623596714184,60.53873217265062,39.16202195706073,37.312622614954584,60.92107979756785,60.75831606321663,83.08289771345905,59.60336587794284,37.183302995399735,0.0,0.0,648.6690699111106,1.0
15,2022-05-05 18:41:14.436850,8.951657207556549,7.814678563243945,83.1572687542264,63.76176178851973,62.830172454893884,61.94242871689404,52.13792429737836,51.653411686409825,51.57262856039761,51.54848921733176,38.36221782391533,37.97786936038174,38.30098298330163,61.37135140499703,63.85929506274086,60.076998741997215,60.82759589647318,39.44801963752036,37.60799899397856,61.19898318044179,61.04385693856238,83.16338989884513,59.92792926489241,37.479855042593684,0.0,0.0,643.2149559293875,1.0
16,2022-05-05 18:41:15.032821,9.267580020503305,8.108264682682865,83.23748515045281,64.00608765080138,63.086722774059794,62.21093442886547,52.41370513565604,51.93549822159278,51.855869711550646,51.83239072974717,38.65040599073049,38.26796133318718,38.58644339358513,61.63560612060536,64.10158098988595,60.39349808744237,61.11371702973691,39.73141496782114,37.901872997659225,61.47448550282574,61.32662123731061,83.243510956234,60.24811107765442,37.77494781506984,0.0,0.0,637.7859894124615,1.0
17,2022-05-05 18:41:15.697211,9.110398786144229,8.1918598065176,69.0871697012834,59.99772759952525,59.95920115907465,59.93028311562754,50.672209428510236,50.627598328200364,50.62186646867219,50.62759021872322,38.17450593513846,38.10107382770192,38.10830162236392,59.54291393395313,59.97819538138279,60.52227519203224,59.937046074742284,38.45646855931815,38.07978173595932,59.79479315444136,59.937358209306936,69.08716970128327,60.56218096279566,38.06738861390341,0.0,0.0,0.0,0.0
18,2022-05-05 18:41:16.452789,8.968267936529985,8.2604045484131,69.03920447119395,59.938568079744584,59.905773085007155,59.88184660640404,50.642549899610096,50.60979535240499,50.604556161881305,50.61079254868707,38.22141751167143,38.17185636430315,38.17715367389282,59.58780119329664,59.92325103986992,60.371948347413465,59.88820549956254,38.43902916644719,38.15952637368194,59.77745707935761,59.888500980468855,69.03920447119383,60.40506759368156,38.1509456141133,0.0,0.0,0.0,0.0
19,2022-05-05 18:41:17.163542,8.840980218920835,8.31410615953204,68.99512566860213,59.884605820311556,59.85701946610994,59.837565013825085,50.61464952567113,50.59157625624435,50.58733750630652,50.59475788049632,38.26068463641853,38.23057485799992,38.23419474889609,59.62406301642357,59.873014794384744,60.235997782776636,59.843594044143764,38.42198237046039,38.22491972593965,59.76046148557982,59.84388011014448,68.995125668602,60.26299793500768,38.21945915413121,0.0,0.0,0.0,0.0
