iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J6_LEVEL,J7_LEVEL,J8_LEVEL,J9_LEVEL,J10_LEVEL,J11_LEVEL,J12_LEVEL,J13_LEVEL,J14_LEVEL,J15_LEVEL,J16_LEVEL,J17_LEVEL,J18_LEVEL,J19_LEVEL,J20_LEVEL,J21_LEVEL,J22_LEVEL,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS
0,2022-05-03 18:58:48.491925,3.0509999999999993,3.0509999999999993,-6.096,-15.24,-15.24,-15.24,-24.384,-24.384,-24.384,-24.384,-36.576,-36.576,-36.576,-15.24,-15.24,-15.24,-15.24,-36.576,-36.576,-15.24,-15.24,-6.096,-15.24,-36.576,1450.0,1.0,1450.0,1.0
1,2022-05-03 18:58:48.945956,3.4954406549806474,3.3748295538831594,86.17991031512442,60.82569719938813,59.42231067447387,58.097939738331014,47.976224487394866,47.30907992691568,47.2035859922538,47.18605101601549,33.937664870082976,33.57833461362819,34.06204051450762,57.86962152756098,61.003882761493244,54.62229568641389,56.42886867462803,35.10482538257304,33.16371954721827,57.1735633407391,56.72641634935858,86.1895092679167,54.34873560085557,33.01152197571502,410.042393424658,1.0,410.042393424658,1.0
2,2022-05-03 18:58:49.407252,3.9325375515923873,3.698348784492125,86.19925757375294,61.11801774034572,59.730393606506865,58.42136916102507,48.30806267759959,47.64796782778785,47.543763701161524,47.52679102376039,34.26577772677698,33.90115593144601,34.37742133929148,58.157898180595915,61.29192736724805,55.05834078815908,56.77636869438168,35.447564518860105,33.487276403613485,57.499852343162985,57.072868674736654,86.20870218746815,54.793093131546776,33.33534882962307,406.4692066888217,1.0,406.4692066888217,1.0
3,2022-05-03 18:58:49.849205,4.362424699208565,4.021444224947971,86.21855176025689,61.406942915810646,60.035187803225995,58.74161107319376,48.63692790328401,47.98405594075665,47.881173438253285,47.864771464081784,34.59255279850636,34.22322975434909,34.692160758850136,58.445415348134276,61.57674520777792,55.48731141202873,57.12058484242608,35.78791470080383,33.8104235790863,57.82385427863918,57.41616641285742,86.22784359614066,55.23010957001255,33.65886437651779,402.9056098430936,1.0,402.9056098430936,1.0
4,2022-05-03 18:58:50.250297,4.785228986269662,4.344010191800022,86.237791208092,61.69246227509038,60.33663432964979,59.05855925520538,48.96271762454979,48.31724415355905,48.21571556250448,48.19989233280861,34.917890887519285,34.5444592674518,35.00616703365628,58.73211375617931,61.858348701870774,55.909327572832424,57.4612921447181,36.12606389598209,34.133054766368375,58.14561483001719,57.75631798746373,86.24693183273573,55.65991878706624,33.98195522040757,399.3519121563397,1.0,399.3519121563397,1.0
5,2022-05-03 18:58:50.642938,5.201070061875811,4.665948858748799,86.25697436395598,61.97456828129834,60.634681461637385,59.372118909703964,49.28535280563189,48.64746595160273,48.54732587969091,48.53208984529738,35.241711351325016,34.86475848399157,35.319357374431924,59.01794047672863,62.136750249450664,56.32450256961194,57.7982703055085,36.462194875936426,34.455071543635015,58.46517773637176,58.09332797423262,86.26596534804304,56.08264753659976,34.30451574973898,395.8084020483496,1.0,395.8084020483496,1.0
6,2022-05-03 18:58:51.080028,5.610088133855115,4.987142877522522,86.27609861624977,62.25337748715301,60.92960780986736,59.68272624805072,49.60513970679584,48.9749184135585,48.87618151511358,48.861532196470165,35.564001454345686,35.18403997932134,35.63160131437791,59.30265220215009,62.411911731016154,56.73297280691163,58.132532677438604,36.79493324720405,34.77635946779047,58.78195955859138,58.426957631414346,86.2849415423681,56.49841563360884,34.626447973689785,392.27556350978057,1.0,392.27556350978057,1.0
7,2022-05-03 18:58:51.477520,6.012424747039635,5.307474330776683,86.29516203325277,62.528923407908515,61.22146335947058,59.990447127839545,49.922109100221064,49.299602660385105,49.202278188817665,49.18821251451058,35.884686846968044,35.50220205154015,35.94278673192767,59.586122346691205,62.683835097986645,57.13487375278369,58.46423558577684,37.123978800613315,35.09680130142035,59.0958098452486,58.757138173960854,86.30385849009396,56.907363238993014,34.9476345450859,388.7537550368541,1.0,388.7537550368541,1.0
8,2022-05-03 18:58:51.855416,6.408213532097627,5.626833756311226,86.31416325709587,62.80120259528168,61.510194014247936,60.29517803648924,50.23616987523487,49.62143759189552,49.52553666193034,49.512052005549485,36.20367385531096,35.81914558629763,36.252819798474356,59.86829114824273,62.95254298751162,57.53033259546132,58.79313749723668,37.44955189216177,35.416287180670885,59.40679136874172,59.083889346103334,86.32271483466221,57.309631755439845,35.2679576263202,385.2432291829306,1.0,385.2432291829306,1.0
9,2022-05-03 18:58:52.297971,6.7975825160277,5.945117818180386,86.33310097674995,63.07022228765278,61.79577364541901,60.59686026241894,50.54726572788864,49.94036854317401,49.84590260175673,49.832996115294094,36.52088118694363,36.13477867691434,36.5616104502384,60.14909147773473,63.21805515888524,57.91947154829873,59.11909765660656,37.77175875426895,35.73471369106017,59.71492380806414,59.4072167780311,86.34150926570227,57.705354700574865,35.58730781507111,381.7442299024961,1.0,381.7442299024961,1.0
10,2022-05-03 18:58:52.702872,7.18065513402312,6.262228266540562,86.35197395289461,63.335994808411144,62.07818890474252,60.895455375872565,50.85535694861973,50.25635435756062,50.16333462203847,50.15100298868961,36.83623524120249,36.44901482877616,36.86907265704313,60.428455536415704,63.480390818589875,58.30240866147842,59.44201944084496,38.09066045568877,36.05198266301982,60.020210923062386,59.72712197086898,86.36024054372942,58.09466000261633,35.90558182654512,378.2569879530664,1.0,378.2569879530664,1.0
11,2022-05-03 18:58:53.989269,7.55755081887109,6.578071319315457,86.37078101960373,63.598535647462064,62.35743410966789,61.19093700117752,51.16041405869029,50.569362587290264,50.47779976996571,50.46603908237087,37.149668165327355,36.76177205934671,37.17512420697769,60.70631673724768,63.73956931390979,58.67925832733497,59.76183174598439,38.406294987102044,36.36800049590319,60.32264917639602,60.04360541616515,86.37890750184039,58.47767100722421,36.222681456930275,374.7817205795075,1.0,374.7817205795075,1.0
12,2022-05-03 18:58:54.353330,7.928385390881676,6.892557244442616,86.38952108148973,63.857862514038096,62.633508782080376,61.48328688066706,51.462414702625246,50.87936708161323,50.78927124178903,50.778076936208876,37.46111679708331,37.072972349808964,37.47968647423216,60.98261044905759,63.995610400919865,59.05013162205529,60.07848020628037,38.71868734127808,36.68267771019294,60.622231597600546,60.35666791746574,86.39750904290102,58.85450706444718,36.53851296674986,371.31863203761446,1.0,371.31863203761446,1.0
13,2022-05-03 18:58:54.787603,8.30683717705087,7.223009799204175,86.4221192189132,64.25369108386558,63.100442289085656,61.99562141087004,52.04936025283398,51.440927395908666,51.337430452154685,51.29959120911654,37.93740240590648,37.474479814099844,37.88246452962369,61.37192225833803,64.38079618101965,59.42854815684147,60.575406053199714,39.2107098228201,37.01114995463121,61.08330871694212,60.846816238773556,86.42986881890329,59.225416705396135,36.853137370286085,365.2941435758195,1.0,365.2941435758195,1.0
14,2022-05-03 18:58:55.272650,8.63143857012137,7.519573603079845,83.07668009551925,63.51486628598871,62.57102830314017,61.671303602685065,51.85956053000152,51.36876805567666,51.286834912428525,51.262033855349955,38.072111498665734,37.68614110497569,38.013925464093944,61.105449297630486,63.61449701843527,59.75623596714184,60.53873217265062,39.16202195706073,37.312622614954584,60.92107979756785,60.75831606321663,83.08289771345905,59.60336587794284,37.183302995399735,0.0,0.0,648.6690699111106,1.0
15,2022-05-03 18:58:55.762573,8.951657207556549,7.814678563243945,83.1572687542264,63.76176178851973,62.830172454893884,61.94242871689404,52.13792429737836,51.653411686409825,51.57262856039761,51.54848921733176,38.36221782391533,37.97786936038174,38.30098298330163,61.37135140499703,63.85929506274086,60.076998741997215,60.82759589647318,39.44801963752036,37.60799899397856,61.19898318044179,61.04385693856238,83.16338989884513,59.92792926489241,37.479855042593684,0.0,0.0,643.2149559293875,1.0
16,2022-05-03 18:58:56.163466,9.267580020503305,8.108264682682865,83.23748515045281,64.00608765080138,63.086722774059794,62.21093442886547,52.41370513565604,51.93549822159278,51.855869711550646,51.83239072974717,38.65040599073049,38.26796133318718,38.58644339358513,61.63560612060536,64.10158098988595,60.39349808744237,61.11371702973691,39.73141496782114,37.901872997659225,61.47448550282574,61.32662123731061,83.243510956234,60.24811107765442,37.77494781506984,0.0,0.0,637.7859894124615,1.0
17,2022-05-03 18:58:56.532790,9.110398786144229,8.1918598065176,69.0871697012834,59.99772759952525,59.95920115907465,59.93028311562754,50.672209428510236,50.627598328200364,50.62186646867219,50.62759021872322,38.17450593513846,38.10107382770192,38.10830162236392,59.54291393395313,59.97819538138279,60.52227519203224,59.937046074742284,38.45646855931815,38.07978173595932,59.79479315444136,59.937358209306936,69.08716970128327,60.56218096279566,38.06738861390341,0.0,0.0,0.0,0.0
18,2022-05-03 18:58:56.903949,8.968267936529985,8.2604045484131,69.03920447119395,59.938568079744584,59.905773085007155,59.88184660640404,50.642549899610096,50.60979535240499,50.604556161881305,50.61079254868707,38.22141751167143,38.17185636430315,38.17715367389282,59.58780119329664,59.92325103986992,60.371948347413465,59.88820549956254,38.43902916644719,38.15952637368194,59.77745707935761,59.888500980468855,69.03920447119383,60.40506759368156,38.1509456141133,0.0,0.0,0.0,0.0
